seed,chunk_x,chunk_z,total_cells,open_cells,open_fraction,tile_entropy,isovist_area_mean,isovist_area_var,perimeter_mean,perimeter_var,occlusivity_mean,occlusivity_var,jaggedness_mean,jaggedness_var,clustering_mean,clustering_var,drift_mean,drift_var
189,1,1,2500,2107,0.8428,0.7846,274.505,13806.366,152.855,3566.411,0.4340,0.02043,89.3022,1684.3684,0.69102,0.020812,7.2124,16.4875
190,1,1,2500,1664,0.6656,0.7591,168.607,5615.757,92.921,1512.664,0.3069,0.02435,55.8093,844.5286,0.79232,0.023596,6.2615,15.4636
191,1,1,2500,1771,0.7084,0.6817,102.051,2553.925,78.264,1334.063,0.2933,0.02600,65.6071,1685.8219,0.79228,0.022104,5.2763,15.3263
192,1,1,2500,1497,0.5988,0.7132,101.914,2005.783,67.686,964.509,0.2207,0.01631,49.3797,960.5951,0.85384,0.019536,5.0640,14.8023
193,1,1,2500,1786,0.7144,0.6977,190.730,8768.957,109.897,2265.087,0.3617,0.01921,68.4185,1166.5151,0.76276,0.017215,6.1963,16.8152
194,1,1,2500,1833,0.7332,0.5503,159.432,8351.667,85.189,1434.009,0.2317,0.01452,50.5428,801.9459,0.84092,0.016755,6.3345,16.9797
195,1,1,2500,2173,0.8692,0.6826,280.938,21423.562,145.799,5166.164,0.4126,0.02564,79.4642,1758.3191,0.72116,0.023655,7.1779,15.8983
196,1,1,2500,2193,0.8772,0.5762,341.686,32615.545,122.876,1498.531,0.3143,0.01994,55.2836,1055.3478,0.83214,0.022577,7.7166,15.7070
197,1,1,2500,2156,0.8624,0.6674,383.134,49167.297,157.827,6371.626,0.3453,0.03632,72.4631,1638.0417,0.78827,0.024159,9.0799,24.3517
198,1,1,2500,2122,0.8488,0.7395,181.422,7719.971,95.810,1848.005,0.2894,0.02730,57.1742,1340.9005,0.80298,0.024063,5.8593,11.5825
199,1,1,2500,1755,0.7020,0.6375,229.970,14681.274,95.885,1099.864,0.2688,0.01190,46.9693,563.5023,0.84543,0.010984,6.7483,13.7465
200,1,1,2500,1600,0.6400,0.6805,275.695,11005.253,128.564,2247.318,0.3274,0.02790,65.1061,1024.8971,0.79241,0.021087,8.1415,21.7422
