seed,chunk_x,chunk_z,total_cells,open_cells,open_fraction,tile_entropy,isovist_area_mean,isovist_area_var,perimeter_mean,perimeter_var,occlusivity_mean,occlusivity_var,jaggedness_mean,jaggedness_var,clustering_mean,clustering_var,drift_mean,drift_var
25,1,1,2500,2048,0.8192,0.5279,357.553,41354.707,116.402,1901.104,0.2515,0.01709,44.4981,462.0176,0.86085,0.010949,8.7095,22.3954
26,1,1,2500,2042,0.8168,0.6695,246.592,22277.203,115.304,2935.705,0.3200,0.02845,63.2449,1368.6008,0.80454,0.023183,7.1283,15.7859
27,1,1,2500,2176,0.8704,0.4466,1247.926,424416.156,156.212,2496.979,0.1200,0.00620,29.5995,531.8030,0.96639,0.004352,13.3046,46.8329
28,1,1,2500,2115,0.8460,0.4236,249.679,15070.748,128.671,2397.456,0.3956,0.01443,70.5332,728.1598,0.74232,0.018898,7.2615,13.8794
29,1,1,2500,2086,0.8344,0.7337,390.600,66948.773,137.689,3719.435,0.3246,0.02917,60.1492,966.9971,0.84319,0.016543,8.6768,20.5207
30,1,1,2500,1993,0.7972,0.7568,219.106,14417.708,113.564,2643.562,0.3635,0.02194,63.5702,1126.7040,0.76355,0.019344,6.3761,10.6218
31,1,1,2500,2173,0.8692,0.6142,312.890,35032.680,126.016,4080.957,0.3014,0.03817,60.9903,1913.7507,0.83346,0.022497,7.3112,15.5596
32,1,1,2500,1853,0.7412,0.6553,169.612,4464.191,91.509,1284.621,0.2455,0.02900,56.8378,1335.0229,0.84297,0.021024,6.6090,15.9928
33,1,1,2500,1714,0.6856,0.6670,187.553,8097.997,93.329,2072.415,0.2608,0.02734,53.0833,1281.9114,0.82979,0.026465,6.4771,15.0659
34,1,1,2500,1991,0.7964,0.6432,262.158,18872.586,134.255,4021.961,0.3440,0.03318,78.1191,2256.0559,0.78037,0.027772,8.1321,25.3458
35,1,1,2500,2206,0.8824,0.6118,270.243,19947.475,145.008,3903.684,0.4358,0.01470,81.4297,1066.4038,0.69089,0.018921,7.2853,14.0293
36,1,1,2500,1996,0.7984,0.6570,191.048,10264.852,101.031,1658.829,0.3284,0.01849,59.9943,1018.0392,0.78110,0.018549,6.2645,12.5783
37,1,1,2500,1691,0.6764,0.6751,139.980,7456.273,78.822,1122.141,0.2641,0.01360,50.4841,843.1030,0.82695,0.016675,5.5214,11.7270
38,1,1,2500,1885,0.7540,0.7660,223.133,23422.605,124.900,4136.168,0.3588,0.02153,79.4133,1744.5343,0.78756,0.018530,7.4634,22.4882
39,1,1,2500,2000,0.8000,0.7201,166.260,8108.651,92.224,1485.516,0.3000,0.02588,58.4766,1174.6703,0.79223,0.022044,6.1682,15.4979
40,1,1,2500,2113,0.8452,0.7015,206.648,9027.800,115.980,1905.476,0.3892,0.01771,70.2505,902.1921,0.76324,0.017316,6.5969,12.5353
41,1,1,2500,2166,0.8664,0.7130,231.320,11827.071,133.005,3446.394,0.4162,0.02368,82.1387,1952.7112,0.72193,0.021967,6.5161,11.1382
42,1,1,2500,2069,0.8276,0.7442,239.401,16950.986,133.390,4646.229,0.4034,0.02635,79.3250,1855.9344,0.73985,0.023409,6.8969,15.1110
43,1,1,2500,1758,0.7032,0.7144,128.182,5681.717,87.516,2005.445,0.3190,0.02472,65.5163,1489.3895,0.78798,0.023044,5.4900,12.7747
44,1,1,2500,2020,0.8080,0.7757,140.973,3382.617,86.250,1225.405,0.3328,0.01584,56.5164,962.7778,0.77802,0.019663,5.1194,8.7109
45,1,1,2500,2244,0.8976,0.5023,418.998,41982.121,202.276,5144.873,0.5105,0.01637,104.3363,1427.5166,0.67903,0.013287,8.9849,19.7200
46,1,1,2500,1281,0.5124,0.5682,142.480,5340.442,92.706,1695.151,0.2703,0.02558,64.8583,1165.6013,0.82237,0.023052,6.6328,18.9513
47,1,1,2500,2131,0.8524,0.7821,236.199,10652.854,125.974,2899.875,0.3921,0.02286,74.7816,2006.5251,0.72371,0.022230,6.9828,13.8619
48,1,1,2500,2231,0.8924,0.4757,346.110,24389.254,141.148,3214.794,0.3640,0.01805,62.1359,890.8339,0.74813,0.018395,7.8810,16.4271
49,1,1,2500,1967,0.7868,0.4712,253.625,20464.486,103.042,1367.765,0.2659,0.01787,50.6633,860.2383,0.84202,0.014356,7.5893,15.7986
50,1,1,2500,1945,0.7780,0.7623,219.274,16021.061,113.337,3368.654,0.3441,0.02908,64.5593,1281.5446,0.78268,0.019565,6.8798,16.1042
51,1,1,2500,2126,0.8504,0.7194,407.891,75632.391,114.786,2011.767,0.2437,0.02861,48.7355,1088.5452,0.87676,0.019172,8.1855,18.8810
52,1,1,2500,1804,0.7216,0.6543,223.585,19858.004,110.642,3139.208,0.3441,0.02400,62.4046,1289.1642,0.76479,0.021315,6.3458,16.3535
